customer_id,national_id,birth_date,city,state,age,age_group
dc3dd10b-91ed-4453-89bb-9f624c441030,UA886206902,1976-04-04,Houston,Texas,50,Older Adults
d8946376-be1f-48cc-a278-f8b3b967cd77,IB516472288,1971-08-19,Grand Rapids,Michigan,55,Older Adults
83fae1e1-7a78-42d4-81fd-803ebdeedb2d,CS768525777,1997-10-11,Naperville,Illinois,28,Middle Aged
24405b2f-c105-4f3f-9aaf-8bc07f4cae9f,RX998412214,1954-11-12,Austin,Texas,71,Seniors
3869d8bc-f40c-4f5e-a283-6137c3c35e49,DT348481917,1998-02-13,Las Vegas,Nevada,28,Middle Aged
980f7c2f-153a-47cf-8597-003573939f9b,TY024405511,1994-08-10,Bellevue,Washington,32,Middle Aged
29e1adfa-15e1-4685-bdda-77a76b1b5f67,DM267534527,1999-01-10,Spokane,Washington,27,Middle Aged
b4b4b06b-f5f3-40fa-81a6-2d0a89855381,RE142515757,1954-03-22,San Francisco,California,72,Seniors
32992fb7-2b62-4f94-bb9b-8a9d8d82db8f,WM648375107,2005-08-13,Miami,Florida,21,Young Adults
5145b2a8-b34f-4e20-9e03-27b4793df5f9,IH317095919,2004-02-22,Austin,Texas,22,Young Adults
4d023c48-23e3-4783-8fa2-318cb3d43c0d,CD799502037,2004-09-10,Austin,Texas,21,Young Adults
ab037001-ee92-4756-a5d0-86e775b34910,YF944407980,1954-07-06,Orlando,Florida,72,Seniors
65423bfc-af9a-4324-b3bb-d7fe6eee7abf,JB353183359,1979-10-05,Allentown,Pennsylvania,46,Older Adults
8ce818f3-74d3-485a-a880-31f78a209152,MN044100529,2007-06-09,New York City,New York,19,Young Adults
42274652-cd72-4dda-b350-134f64209e99,ZH760791456,2007-05-24,Syracuse,New York,19,Young Adults
4d67ee67-fd72-4aa2-a37c-b0ee14feaf41,WH165352905,2004-11-23,Columbus,Georgia,21,Young Adults
5462782c-ddd2-429b-b75c-72dfc38b48ae,KM221896014,1965-02-28,Allentown,Pennsylvania,61,Seniors
e448c5be-744b-45bf-ac97-6ebc9394f9eb,DJ364201007,1987-05-17,Cleveland,Ohio,39,Middle Aged
86ce0e19-5eac-4ba5-8c90-c033c7fd056b,PR371055802,2002-07-16,Gresham,Oregon,24,Young Adults
f2509c99-029f-4da2-9fa7-dfe8709e1735,IL844482798,1964-10-06,Vancouver,Washington,61,Seniors
2d9977a7-73a4-4fcf-9258-870ce8c57eef,XZ903372458,1958-02-04,Los Angeles,California,68,Seniors
2ad9e481-4da0-46d6-b091-5a31d47b79b4,NI461256479,2001-11-05,Austin,Texas,24,Young Adults
5d86e682-2c99-4fb2-b207-9ac1999b3b39,TT871516920,1985-10-17,Winston-Salem,North Carolina,40,Middle Aged
28f5f699-63d7-4067-9aa7-6c8bb56a8d54,ER719876601,1981-06-03,Columbus,Georgia,45,Middle Aged
88fd1f10-d022-487f-aa2b-a4fe54f7191a,EY267469972,1961-09-15,Austin,Texas,64,Seniors
6e1dcf88-fcb3-446d-ad88-a80f5d16b100,OD471374890,1953-09-26,Cincinnati,Ohio,72,Seniors
0b380004-e297-4530-b9cc-7ec7c2671aa4,PA221017992,1988-11-20,Orlando,Florida,37,Middle Aged
a13d9a3f-15aa-4226-82e6-1be95617ce11,NL738000577,1998-03-16,Tampa,Florida,28,Middle Aged
6abcdf3a-b28d-48e3-98b5-47b735656d7f,AA476992510,2007-08-08,Worcester,Massachusetts,19,Young Adults
3ceffc2d-ca21-4728-8fe2-d7330800545d,LL288289239,1981-04-07,Erie,Pennsylvania,45,Middle Aged
081cb3b7-07a5-47e3-ba40-3c584667498f,SR860646502,1970-01-21,Sacramento,California,56,Older Adults
fa6caa51-aa5b-4c06-9822-665356e76ed1,CJ517624021,1979-01-04,San Diego,California,47,Older Adults
b58ae460-63a9-43d4-9be9-23b023a9a55e,QI158396130,1983-03-19,Fort Worth,Texas,43,Middle Aged
d8d7fd2a-b7e3-4fe0-9c87-f6ff030f3fab,ZY311344322,1998-08-07,Orlando,Florida,28,Middle Aged
